Designator,Mid X,Mid Y,Rotation,Layer
C1,140.388,-69.088,0.0,top
C2,166.116,-77.764,270.0,top
C3,161.544,-86.574,90.0,top
C4,167.64,-86.5404,90.0,top
C5,173.696,-79.502,180.0,top
C6,173.736,-86.7944,90.0,top
C7,155.702,-84.288,90.0,top
D1,132.334,-76.2,0.0,top
D2,131.318,-65.024,270.0,top
D3,132.334,-79.756,0.0,top
D4,169.164,-73.914,90.0,top
D5,153.924,-76.962,0.0,top
J8,160.528,-92.71,90.0,top
Q1,144.78,-78.232,0.0,top
RV1,144.018,-84.328,90.0,top
RV2,132.842,-84.328,90.0,top
RV3,127.254,-84.318,90.0,top
RV4,138.43,-84.328,90.0,top
RV5,149.606,-84.328,90.0,top
