Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L26.5mm_W10.5mm_P22.50mm_MKS4,1,1u,
C2,CP_Radial_Tantal_D5.5mm_P2.50mm,1,0.47u,
"D1, D2, D3, D4, D5",D_DO-41_SOD81_P7.62mm_Horizontal,5,1N4007,
J1,SolderWire-2.5sqmm_1x02_P7.2mm_D2.4mm_OD3.6mm,1,MAG,
J2,SolderWire-2.5sqmm_1x02_P7.2mm_D2.4mm_OD3.6mm,1,COIL,
J3,TE_1792863,1,GtD,
J4,TE_1792863,1,AtG,
J5,TE_1792863,1,scrD,
J6,TE_1792863,1,lD,
J7,TE_1792863,1,aD,
J8,TE_1792863,1,aC,
Q1,TO-220-3_Vertical,1,TIC106,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,47,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,16,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,680,
