Designator,Mid X,Mid Y,Rotation,Layer
C1,158.856,-97.536,0.0,top
C2,185.600369,-107.188,180.0,top
D1,140.462,-110.236,0.0,top
D2,154.178,-101.6,90.0,top
D3,140.462,-106.934,0.0,top
D4,194.056,-102.108,90.0,top
D5,170.688,-110.49,0.0,top
J3,164.8045,-117.902,0.0,top
J4,175.554,-117.902,0.0,top
J5,154.178,-117.302,180.0,top
J6,143.47,-117.856,0.0,top
J7,196.81,-117.856,0.0,top
J8,186.1405,-117.902,0.0,top
Q1,152.146,-107.117,0.0,top
R1,168.148,-110.49,180.0,top
R2,158.242,-110.236,180.0,top
R8,170.688,-107.188,0.0,top
