Designator,Footprint,Quantity,Value,LCSC Part #
A2,Arduino_Uno_R2_Shield,1,Arduino_Uno_R2_Shield,
"C1, C22",C_Rect_L4.0mm_W2.5mm_P2.50mm,2,10u,
C10,CP_Radial_D6.3mm_P2.50mm,1,2.2u 400v,
C11,C_Rect_L4.0mm_W2.5mm_P2.50mm,1,1u 35v,
C15,C_Rect_L4.0mm_W2.5mm_P2.50mm,1,10u 16v,
C18,CP_Radial_D5.0mm_P2.00mm,1,100u 10v,
"C2, C3",C_Rect_L4.0mm_W2.5mm_P2.50mm,2,1u,
"C30, C5, C8",C_Rect_L4.0mm_W2.5mm_P2.50mm,3,10n,
C32,C_Disc_D7.5mm_W5.0mm_P5.00mm,1,22p 300v,
C33,C_Disc_D7.0mm_W2.5mm_P5.00mm,1,1n 300v,
C35,C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3,1,1u 400v,
"C4, C6",C_Rect_L4.6mm_W3.0mm_P2.50mm_MKS02_FKP02,2,u1,
"D1, D10, D11, D4, D6",D_DO-41_SOD81_P7.62mm_Horizontal,5,1N4007,
"D12, D3",D_DO-41_SOD81_P7.62mm_Horizontal,2,1N5819,
"D13, D14, D15",D_DO-35_SOD27_P7.62mm_Horizontal,3,1N5231B,
D2,D_DO-15_P10.16mm_Horizontal,1,SA5.0A-TP,
"D5, D7, D8",LED_D5.0mm,3,LED,
D9,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4937,
J3,PinSocket_1x02_P2.54mm_Vertical,1,KILL,
J4,SolderWire-1.5sqmm_1x02_P6mm_D1.7mm_OD3mm,1,MAG,
J5,SolderWire-1.5sqmm_1x02_P6mm_D1.7mm_OD3mm,1,CDI,
L1,L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,1,3300uH,
Q3,TO-220-3_Vertical,1,TIC106,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2.94k 1%,
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,680,
R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100,
R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
R23,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,476.4k,
R24,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,3.6k,
"R25, R28",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1k,
R27,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,27,
R4,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,470,
"R5, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,220,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2k 1%,
RV1,Potentiometer_Bourns_3296Y_Vertical,1,100k,
SW1,SW_PUSH_6mm,1,SW_Push,
TP1,PinHeader_1x01_P2.54mm_Vertical,1,VREF,
TP2,TestPoint_Pad_2.0x2.0mm,1,GATE_OUT,
U2,PowerIntegrations_PDIP-8C,1,LNK3206D,
