Designator,Mid X,Mid Y,Rotation,Layer
A2,152.944119,-86.2092,0.0,top
C1,132.08,-88.9,270.0,top
C10,156.463979,-84.074,0.0,top
C11,140.716,-95.123,180.0,top
C15,140.843,-91.186,90.0,top
C18,130.302,-83.692987,90.0,top
C2,145.923,-106.192,270.0,top
C22,158.984,-106.299,0.0,top
C3,128.905,-88.9,270.0,top
C30,163.723,-106.172,180.0,top
C32,164.338,-82.677,90.0,top
C33,166.624,-76.962,180.0,top
C35,179.705,-83.693,90.0,top
C4,142.494,-106.934,270.0,top
C5,145.034,-111.125,180.0,top
C6,130.302,-96.266,180.0,top
C8,125.857,-92.984,270.0,top
D1,165.354,-93.98,0.0,top
D10,180.467,-94.742,0.0,top
D11,179.959,-69.215,270.0,top
D12,152.908,-96.647,0.0,top
D13,155.829,-99.568,180.0,top
D14,122.936,-95.504,270.0,top
D15,165.735,-99.568,0.0,top
D2,171.704,-65.659,180.0,top
D3,172.974,-69.469,0.0,top
D4,132.969,-92.837,180.0,top
D5,143.388,-73.279,0.0,top
D6,173.609,-90.297,90.0,top
D7,136.784,-70.231,0.0,top
D8,143.388,-66.675,0.0,top
D9,137.795,-78.232,180.0,top
J3,164.592,-70.485,270.0,top
L1,137.708,-84.455,180.0,top
Q3,172.918,-79.756,90.0,top
R10,147.955,-92.329,180.0,top
R12,125.73,-85.725,270.0,top
R18,172.72,-72.771,0.0,top
R21,145.923,-98.806,90.0,top
R23,176.53,-102.743,180.0,top
R24,161.671,-102.743,180.0,top
R25,171.069,-106.172,0.0,top
R27,168.783,-83.439,270.0,top
R28,162.814,-73.914,180.0,top
R4,178.181,-98.298,180.0,top
R5,151.638,-71.501,0.0,top
R6,151.638,-68.199,0.0,top
R7,151.638,-65.024,0.0,top
R8,148.082,-78.105,180.0,top
RV1,150.241,-106.035,270.0,top
SW1,139.498,-100.493,180.0,top
TP1,154.813,-106.553,0.0,top
U2,147.701,-85.344,180.0,top
